mean_temperature,lowest_temperature,highest_temperature,max_wind,mean_wind,mean_releative_humidity,mean_steam_pressure,mean_local_atomospheric_pressure,highest_thawing_air_pressure,lowest_thawing_air_pressure,mean_thawing_air_pressure,total_sunshine_time,total_sumstroke,mean_vestibule,average_ground_temperature,quantity
16.6,15,20.7,3.9,1.1,86.4,16.1,997.7,1013.5,1004.2,1007.7,3.2,9.31,9.3,17.2,1
19.2,14,25.5,3.7,1.2,60.3,12.5,996.5,1009.1,1004.8,1006.4,7.1,17.7,6,18.4,0
17.5,11.6,22.9,2.7,1.7,50.9,10,1003.9,1019.4,1009.1,1014,11.3,23.25,3,21.3,0
15.7,9.2,21.8,3.6,1.7,50.4,8.8,1010.6,1022.3,1019,1020.8,12.6,26.77,0.1,21.7,0
15.4,11.3,21.4,5.4,2.3,67.4,11.5,1012.1,1024.4,1020.3,1022.3,12.3,26.53,3.1,22.5,0
16.1,11.9,21.3,3.5,1.8,59.8,10.5,1008.2,1021.6,1014.6,1018.3,5.3,18.7,9.5,21,0
14.2,11.8,16.1,2.9,0.9,89.3,14.4,999.8,1015.6,1006.7,1009.9,0,1.32,10,14.6,1
15.8,12.7,20,3.9,1.9,82.5,14.5,998.3,1011.6,1006.1,1008.3,6.9,16.37,5.3,18.4,1
18.2,11.9,24.5,3.4,1.4,71.4,14.5,1001.3,1013.2,1009.2,1011.4,7.2,19.19,6.6,21.2,0
23.2,15.4,29.3,3.4,1.1,56.4,15.5,1000,1012.7,1007.6,1009.8,8.9,21.18,8.5,25.3,0
22.3,21.8,24.4,6.1,1.9,93.8,25.1,995.1,1007.8,1003.4,1004.9,0,1.6,10,21.6,1
20.9,18.8,23.5,8,1.4,97,24,994,1007.3,1002.4,1003.8,0,3.96,10,21.2,1
16.3,12.2,19.3,2.7,1.3,86.8,16.3,996.2,1013.3,1001.5,1006.2,0.4,5.64,8.3,18.2,1
17.6,10.3,24.7,2.9,1.5,47.5,9.1,1005.9,1018.9,1013.4,1016,12.7,29.13,0,21.2,0
17,11.5,22.6,2.8,1.4,32.1,6.1,1009.2,1021.5,1017.2,1019.3,4.2,14.42,4.6,16.9,0
17.8,11.3,23.7,3.5,1.4,43.9,9.1,1007.9,1019.9,1015.9,1018,8.8,24.59,3.9,21.8,0
18.1,15.4,23.2,3.1,1.1,75.5,15.5,1002,1017,1008,1012,2.7,10.87,9,19,1
17.3,13.6,23.3,5,2.5,57.1,10.7,998.4,1010.2,1006.6,1008.4,12.7,29.2,1.4,21.9,1
18.3,11.2,23.7,5.4,2.2,47.4,9.6,999.5,1010.6,1008.2,1009.4,12.5,27.02,0.5,22.1,0
19.7,13.8,26.2,4.5,1.8,47.4,10.1,998.5,1010,1007.1,1008.4,12.1,25.48,3.4,23.1,0
